item_upc,brand_name,item_name,item_size,box_size,frequency
21200707261,3M,Post-it Supersticky EaselPad,"1 Pad, 30 Sheets",24,10
52100087078,5 Season,Italian Seasoning,0.87 oz,24,10
52100087931,5 Season,Chili Powder,2.87 oz,24,10
52100086903,5th Season,Garlic Powder,2.5 oz,24,10
52100086934,5th Season,Ground Cinnamon,2.37 oz,24,10
52100086910,5th Season,Ground Black Pepper,2.62 oz,24,10
78000000757,7 Up,Diet 7 Up,2 L,24,10
12000022784,7 Up,FREE,250ML,24,10
70650800121,A Taste Of Thai,Coconut Milk,13.5 fl oz,24,10
78000052466,A&W Root Beer,A&W Root Beer,72 fl oz,24,10
78000053463,A&W Root Beer,Diet A&W Root Beer,2 L,24,10
78000054408,A&W Root Beer,Cream Soda,20 fl oz,24,10
54400000054,A1,Steak Sauce,10 oz,24,10
54400000092,A1,Steak Sauce,5 oz,24,10
55325626541,Abbott,similac,659g,24,10
47800000540,Accent,Flavor Enhancer,4.5 oz (127g),24,10
50505720507,ACCO,Medium Binder Clips - 12 clips,"Qty. 12 - clip size 1-1/4"" (31.75 mm), capacity 5/8"" (15.87 mm)",24,10
76150232585,Act Ii,Butter Lovers,8.25,24,10
41313023522,Adams,Chili Powder,16.82 oz,24,10
41313016548,Adams,Diced Onion,12oz (340.5g),24,10
41313017224,Adams,Chili Powder,3.13 oz (89g),24,10
17498015393,Adelita,Black Beans,15 oz,24,10
55872515176,Agropur,Natrel Fine filtered whole milk,2 l,24,10
62338747347,Air Wick,Dual Action Spray,8.00 oz,24,10
35000446237,Ajax,Triple Action Dish Liquid,30 fl oz,24,10
11600000048,Alaga,Cane Syrup,24 fl oz,24,10
22400344225,Alberto V05 Moisture Milks,Moisturizing Conditioner Strawberries & Cream,18 fl oz,24,10
72275102024,Ale 8 1,Ale 8 1 Soft Drink (Winchester Kentucky),72 fl oz,24,10
71072030509,Alessi,Thin Breadsticks,85g,24,10
71072030547,Alessi,Garlic Breadsticks,125g,24,10
32000000407,Alhambra,Purified Water,16.9 fl oz,24,10
32000001404,Alhambra,Purified Water,24 x 16.9 fl oz,24,10
72613458554,All,"Mighty Pacs, Free Clear",72 loads,24,10
70522694513,Allen's Sunshine,Cream Style Corn,14.75 oz,24,10
34700514109,Allens,Lima Beans,15 1/4 oz,24,10
34700012117,Allens,Cut Italian Green Beans,14.5 oz,24,10
39400017233,Allens,Pepi Golden Hominy,15.5 oz,24,10
34700000558,Allens Inc,Veg All Original Mixed Vegetable No Salt Added,15 oz,24,10
34700065106,Allens Popeye Brand,Spinach,13.5 oz,24,10
72785014848,Alpine Xtreme,Hydrating Face + Body Wash,28 fl oz,24,10
22000159311,Altoids,Spearmint Flavor,1.76 oz,24,10
22000159335,Altoids,Curiously Strong Mints   Peppermint,1.76 oz,24,10
22000013583,Altoids,smalls - Nordic Mint,0.37 oz,24,10
22000159342,Altoids,Wintergreen,50gr,24,10
70038337218,Always Save,Pre Creamed Shortening,42 oz,24,10
70038349655,Always Save,Tomato Sauce,8 oz,24,10
26800001658,American Beauty,Thin Spaghetti,16 oz,24,10
72000176337,American Fare,Antiseptic Mouth Rinse Fresh Mint,50.7 fl oz,24,10
42272001637,Amy's,Mexican Casserole Bowl,9.5 oz,24,10
89125120008,Ancient Harvest,Quinoa,12 oz,24,10
89125230004,Ancient Harvest,Organic Quinoa Pasta Linguine,8 oz,24,10
89125220005,Ancient Harvest,Organic Quinoa Pasta Elbows,8 oz,24,10
89125260001,Ancient Harvest,Quinoa Rotelle,227g,24,10
71079043670,Andersen's,Creamy Soup Split Pea,15 oz,24,10
26200471594,Andy Capp's,Hot Fries,"3 oz, 85 g",24,10
35204501985,Andy's,Cajun Fish Breading,10 oz,24,10
87692821007,Angry Orchard Cider Company,Hard Cider Crisp Apple,12 fl oz,24,10
18200001284,Anheuser-Busch,King Cobra Premium Malt Liquor,12 fl oz,24,10
13562610020,Annie's,Rice Pasta and Extra Cheesy Cheddar Sauce,11 oz,24,10
92325333369,Annie's,Natural Goddess Dressing,8 fl oz,24,10
92325333352,Annie's,Shiitake Sesame Vinaigrette,8 fl oz,24,10
92325333208,Annie's,Tuscany Italian Dressing,8 fl oz,24,10
92325333499,Annie's,Natural Woodstock Dressing,8 fl oz,24,10
92325333482,Annie's,Natural Artichoke Parmesan Dressing,8 fl oz,24,10
92325333017,Annie's,Natural Lite Goddess Dressing,8 fl oz,24,10
92325333383,Annie's,Natural Cowgirl Ranch Dressing,8 fl oz,24,10
92325333321,Annie's,Natural Balsamic Vinaigrette,8 fl oz,24,10
13562000456,Annie's,Macaroni & Cheese,6 oz,24,10
13562000715,Annie's,Organic Fruit Snacks Variety Pack,1 lb 13.2 oz,24,10
92325222250,Annie's,Organic Ketchup,24 oz,24,10
13562300846,Annie's,Shells & Real Aged Cheddar Macaroni & Cheese,170g,24,10
18627104773,Appian Gear,Energy Bar,,24,10
16000264694,Appian Products,Energy Bar,,24,10
16000253698,Appian Products,energy Bar,,24,10
98379335489,Apple,Magic Mouse 2,,24,10
